Tray Code,Batch ID,Varietal,Harvest Date,Seeded Tray Quantity,Harvest Tray Quantity,Destroyed Trays,Total Harvest Yield (oz),Last Subzone
fri-mix-D-11Aug-2,fri-mix-D-11Aug-222,"Frill, Mix (D)",2022-08-26 9:52,45,45,0,178,PIPP3L3
pea-gry-B-16Aug-2,pea-gry-B-16Aug-222,"Peas, Dwarf Grey (B)",2022-08-26 9:51,7,7,0,79,PIPP4A4
rad-pur-B-17Aug,rad-pur-B-17Aug22,"Radish, Purple (B)",2022-08-26 9:52,12,12,0,39,PIPP4B2
aru-mcg-B-17Aug,aru-mcg-B-17Aug22,"Arugula, microgreens (B)",2022-08-26 9:51,18,18,0,68,PIPP4A6
bro-wal-B-18Aug,bro-wal-B-18Aug22,Broccoli Waltham 29 (B),2022-08-26 9:51,6,6,0,55.5,PIPP3A8
par-flt-C-08Aug,par-flt-C-08Aug22,"Parsley, Italian Flat (C)",2022-08-30 9:42,30,30,0,182,PIPP3B6
let-rom-D-10Aug-2,let-rom-D-10Aug-222,"Lettuce, Romaine 'Parris Island' (D)",2022-08-30 9:00,38,38,0,526,PIPP1G2
pak-rub-D-12Aug-2,pak-rub-D-12Aug-222,"Pak Choi, Rubi (D)",2022-08-30 9:10,45,45,0,496,PIPP1I7
car-mcg-C-15Aug,car-mcg-C-15Aug22,Carrot micros (C),2022-08-30 13:53,5,5,0,10.5,PIPP3A1
bro-wal-B-22Aug,bro-wal-B-22Aug22,Broccoli Waltham 29 (B),2022-08-30 9:39,6,6,0,18,PIPP3A7
koh-pur-B-22Aug,koh-pur-B-22Aug22,"Kohlrabi, Purple Vienna (B)",2022-08-30 10:02,9,9,0,57.5,PIPP3B4
mus-mix-B-22Aug,mus-mix-B-22Aug22,Mustard Micro Mix (B),2022-08-30 9:15,2,2,0,13.5,PIPP3B3
sun-blk-B-22Aug,sun-blk-B-22Aug22,"Sunflower, Black Oil (B)",2022-08-30 10:11,32,32,0,203.5,PIPP3A3
sun-blk-B-22Aug-2,sun-blk-B-22Aug-222,"Sunflower, Black Oil (B)",2022-08-30 10:12,16,16,0,93,PIPP3A2
was-mus-B-22Aug,was-mus-B-22Aug22,Wasabi (B),2022-08-30 9:23,4,4,0,19,PIPP4A1
rad-dai-B-23Aug,rad-dai-B-23Aug22,"Radish, Daikon (B)",2022-08-30 9:53,12,12,0,55,PIPP3B1
rad-red-B-23Aug,rad-red-B-23Aug22,"Radish, Red Arrow (B)",2022-08-30 9:53,18,18,0,98,PIPP4B2
dil-fer-D-28Jul,dil-fer-D-28Jul22,"Dill, Fernleaf (D)",2022-08-24 10:41,26,26,0,98,PIPP1D6
dil-fer-D-29Jul-2,dil-fer-D-29Jul-222,"Dill, Fernleaf (D)",2022-08-25 9:52,18,18,0,21,PIPP3M6
